"","usertype","from_station_name","row_count","total_trip_duration","med_trip_duration","avg_trip_duration","max_trip_duration","min_trip_duration","mode_day_of_week","mode_bike_type"
"1","casual","Streeter Dr & Grand Ave",78838,2840699.43333333,25.7333333333333,36.0321093043118,1393.03333333333,1,"Saturday","classic_bike"
"2","casual","DuSable Lake Shore Dr & Monroe St",45948,1653144.3,25.75,35.9785910159311,1427.8,1,"Saturday","classic_bike"
"3","casual","Michigan Ave & Oak St",35540,1302516.06666667,25.6,36.6492984430688,1281,1,"Saturday","classic_bike"
"4","casual","Millennium Park",34379,1369901.8,26.2,39.847051979406,1376.48333333333,1,"Saturday","classic_bike"
"5","casual","DuSable Lake Shore Dr & North Blvd",33088,958164.283333333,19.8833333333333,28.9580598202772,1302.06666666667,1,"Saturday","classic_bike"
"6","casual","Shedd Aquarium",28243,851831.216666667,22.5666666666667,30.160790874435,1385.63333333333,1,"Saturday","classic_bike"
"7","casual","Theater on the Lake",26126,795088,21,30.4328255377785,1436.95,1,"Saturday","classic_bike"
"8","casual","Wells St & Concord Ln",21046,374523.35,11.4666666666667,17.7954646963794,1412.78333333333,1,"Saturday","classic_bike"
"9","casual","Dusable Harbor",20962,745441.566666667,24.3,35.56156696244,1368.3,1,"Saturday","classic_bike"
"10","casual","Indiana Ave & Roosevelt Rd",18681,601132.683333333,20.35,32.1788278643185,1356.28333333333,1,"Saturday","classic_bike"
"11","casual","Clark St & Armitage Ave",18418,426767.833333333,13.9,23.1712364715677,1397.11666666667,1,"Saturday","classic_bike"
"12","casual","Montrose Harbor",17977,647787.516666667,24.1833333333333,36.0342391203575,1437.9,1,"Saturday","classic_bike"
"13","casual","Clark St & Lincoln Ave",17970,405693.666666667,13.7666666666667,22.5761639769987,1403.43333333333,1,"Saturday","classic_bike"
"14","casual","Clark St & Elm St",17268,313129.6,11.8166666666667,18.1335186472087,1356.91666666667,1,"Saturday","classic_bike"
"15","casual","Adler Planetarium",16773,565415.9,24.7333333333333,33.7098849341203,1303.6,1,"Saturday","classic_bike"
"16","casual","Wells St & Elm St",16334,257254.416666667,10.0333333333333,15.7496275662218,1279.36666666667,1,"Saturday","classic_bike"
"17","casual","Michigan Ave & 8th St",15431,505721.116666667,20.05,32.7730618020003,1337.4,1,"Saturday","classic_bike"
"18","casual","Clark St & Newport St",15391,268160.35,10.5333333333333,17.423192125268,1131.51666666667,1,"Saturday","classic_bike"
"19","casual","Wabash Ave & Grand Ave",15348,439854.133333333,15.2833333333333,28.6587264355834,1360.05,1,"Saturday","classic_bike"
"20","casual","Wilton Ave & Belmont Ave",15239,267805.333333333,10.5166666666667,17.5736815626572,1385.98333333333,1,"Saturday","classic_bike"
"21","casual","Broadway & Barry Ave",15232,302197.266666667,11.9,19.839631477591,1268.36666666667,1,"Saturday","classic_bike"
"22","casual","Michigan Ave & Washington St",14845,503800.016666667,20.35,33.9373537667003,1351.21666666667,1,"Saturday","classic_bike"
"23","casual","New St & Illinois St",14508,464255.05,20.0833333333333,31.9999345188861,1439.36666666667,1,"Saturday","classic_bike"
"24","casual","DuSable Lake Shore Dr & Diversey Pkwy",14425,411718.633333333,18.7166666666667,28.5420196418255,1424.95,1,"Saturday","classic_bike"
"25","casual","LaSalle St & Illinois St",14304,323375.766666667,12.675,22.6073662378822,1396.13333333333,1,"Saturday","classic_bike"
"26","casual","DuSable Lake Shore Dr & Belmont Ave",14031,422686.133333333,20.95,30.1251609531276,1435.76666666667,1,"Saturday","classic_bike"
"27","casual","Clark St & Wrightwood Ave",13713,236063.816666667,10.4833333333333,17.2146005007414,1158.13333333333,1,"Saturday","classic_bike"
"28","casual","Michigan Ave & Lake St",13564,430195.516666667,17.9,31.7159773419837,1435.6,1,"Saturday","classic_bike"
"29","casual","Larrabee St & Webster Ave",13557,231740.766666667,10.6166666666667,17.0938088564333,1353.71666666667,1,"Saturday","classic_bike"
"30","casual","Lakeview Ave & Fullerton Pkwy",13500,322309.233333333,14.9166666666667,23.8747580246914,1325.06666666667,1.01666666666667,"Saturday","classic_bike"
"31","casual","McClurg Ct & Ohio St",13477,440113.483333333,20.6833333333333,32.6566359971309,1307.66666666667,1,"Saturday","classic_bike"
"32","casual","Sheffield Ave & Waveland Ave",12824,276279.283333333,12.6166666666667,21.5439241526305,1245.45,1,"Saturday","electric_bike"
"33","casual","Wells St & Evergreen Ave",12718,208312.233333333,10.8333333333333,16.3793232688578,1133,1,"Saturday","classic_bike"
"34","casual","Wells St & Huron St",12650,203986.15,9.375,16.1253873517787,1218.71666666667,1,"Saturday","classic_bike"
"35","casual","DuSable Lake Shore Dr & Wellington Ave",12572,366950.55,20.1,29.1879215717467,1361.38333333333,1,"Saturday","classic_bike"
"36","casual","Kingsbury St & Kinzie St",12365,184476.666666667,8.75,14.9192613559779,1224.51666666667,1,"Saturday","classic_bike"
"37","casual","Halsted St & Roscoe St",12282,230745.25,11.6,18.7872699886012,1347.45,1,"Saturday","classic_bike"
"38","casual","Dearborn St & Erie St",12219,264563.85,12.6166666666667,21.6518413945495,1317.96666666667,1,"Saturday","classic_bike"
"39","casual","Sheffield Ave & Fullerton Ave",12044,179261.533333333,8.38333333333333,14.8838868592937,1172.23333333333,1,"Saturday","classic_bike"
"40","casual","Clark St & Drummond Pl",11656,226981.333333333,11.6333333333333,19.4733470601693,1401.48333333333,1,"Saturday","classic_bike"
"41","casual","Wells St & Hubbard St",11646,214743.716666667,10.4333333333333,18.4392681321198,1312.4,1,"Saturday","classic_bike"
"42","casual","Lincoln Ave & Fullerton Ave",11622,194471.133333333,10.4166666666667,16.7330178397292,1174.88333333333,1,"Saturday","classic_bike"
"43","casual","Damen Ave & Pierce Ave",11609,231229.166666667,13,19.9180951560571,1346.73333333333,1,"Saturday","classic_bike"
"44","casual","Ashland Ave & Division St",11515,210265.666666667,12.4666666666667,18.2601534230714,1385.86666666667,1,"Saturday","classic_bike"
"45","casual","Southport Ave & Roscoe St",11143,199578.566666667,11.1166666666667,17.9106673846062,1340.98333333333,1,"Saturday","classic_bike"
"46","casual","Halsted St & Wrightwood Ave",11131,165610.866666667,9.7,14.8783457610877,1436.91666666667,1,"Saturday","classic_bike"
"47","casual","Michigan Ave & Jackson Blvd",11104,413042.916666667,22.3416666666667,37.1976690081652,1381.56666666667,1,"Saturday","classic_bike"
"48","casual","Broadway & Cornelia Ave",11090,239244.466666667,13,21.5729906822964,1356.86666666667,1,"Saturday","classic_bike"
"49","casual","Field Museum",11051,332411.066666667,22.4833333333333,30.0797273248273,1388.53333333333,1,"Saturday","classic_bike"
"50","casual","Wabash Ave & Roosevelt Rd",11002,282973.683333333,13.775,25.7202039023208,1318.43333333333,1,"Saturday","classic_bike"
"51","member","Kingsbury St & Kinzie St",36297,333419.183333333,6.9,9.18586063127348,1342.03333333333,1,"Tuesday","classic_bike"
"52","member","Clark St & Elm St",32665,382561.766666667,8.85,11.7116720240829,1038.43333333333,1,"Tuesday","classic_bike"
"53","member","Clinton St & Washington Blvd",31067,338451.35,8.8,10.8942398686709,979.383333333333,1,"Tuesday","classic_bike"
"54","member","Wells St & Concord Ln",29964,347896.683333333,9.35,11.6104886975482,1421.2,1,"Saturday","classic_bike"
"55","member","University Ave & 57th St",27234,218321.133333333,4.8,8.01649164035152,1429.4,1,"Monday","classic_bike"
"56","member","Clinton St & Madison St",27208,287289.433333333,8.38333333333333,10.5590059296285,903.883333333333,1,"Tuesday","classic_bike"
"57","member","Wells St & Elm St",27111,285488.083333333,7.66666666666667,10.5303413128742,1417.05,1,"Thursday","classic_bike"
"58","member","Loomis St & Lexington St",27051,252295.8,6.46666666666667,9.32667184207608,1370.56666666667,1,"Wednesday","classic_bike"
"59","member","Ellis Ave & 60th St",26614,183159.9,4.11666666666667,6.88208837453972,1209.78333333333,1,"Monday","classic_bike"
"60","member","Streeter Dr & Grand Ave",24950,518850.633333333,17.5333333333333,20.7956165664663,1150.86666666667,1,"Saturday","classic_bike"
"61","member","Broadway & Barry Ave",24749,315060.566666667,8.8,12.7302342182176,1329.65,1,"Saturday","classic_bike"
"62","member","Canal St & Adams St",24135,289513.366666667,9.61666666666667,11.9955817968372,925.266666666667,1,"Tuesday","classic_bike"
"63","member","Dearborn St & Erie St",23728,277747.066666667,8.08333333333333,11.7054562823106,1337.38333333333,1,"Wednesday","classic_bike"
"64","member","DuSable Lake Shore Dr & North Blvd",23491,425671.016666667,14.6166666666667,18.120600087977,999.833333333333,1,"Saturday","classic_bike"
"65","member","Wells St & Huron St",23241,229251.483333333,7.08333333333333,9.86409721325818,940.733333333333,1,"Wednesday","classic_bike"
"66","member","St. Clair St & Erie St",23222,312550.3,11.15,13.4592326242356,1107.66666666667,1,"Tuesday","classic_bike"
"67","member","Wabash Ave & Grand Ave",22443,296675.766666667,8.85,13.2190779604628,1303.9,1,"Tuesday","classic_bike"
"68","member","Wells St & Hubbard St",22294,235223.166666667,7.46666666666667,10.5509628898657,896.833333333333,1,"Thursday","classic_bike"
"69","member","Wilton Ave & Belmont Ave",21909,240164.55,7.5,10.9619129125017,1089.6,1,"Saturday","classic_bike"
"70","member","Clark St & Armitage Ave",21901,280277.866666667,9.65,12.7974917431472,831.566666666667,1,"Saturday","classic_bike"
"71","member","Clinton St & Jackson Blvd",21794,241262.183333333,8.93333333333333,11.0701194518369,895.716666666667,1,"Wednesday","classic_bike"
"72","member","Clark St & Wrightwood Ave",21513,255039.85,8.6,11.8551503741923,971.416666666667,1,"Saturday","classic_bike"
"73","member","Sheffield Ave & Fullerton Ave",21487,208729.683333333,6.46666666666667,9.71423108546253,949.933333333333,1,"Tuesday","classic_bike"
"74","member","Theater on the Lake",21320,436469.75,17.2666666666667,20.472314727955,1343.31666666667,1,"Saturday","classic_bike"
"75","member","Michigan Ave & Oak St",21041,416970.433333333,16.4,19.8170445004198,1431.86666666667,1,"Saturday","classic_bike"
"76","member","Green St & Madison St",20964,238366.816666667,8.81666666666667,11.3702927240349,850.683333333333,1,"Tuesday","classic_bike"
"77","member","Larrabee St & Kingsbury St",20941,200432.266666667,7.88333333333333,9.57128440220938,1420.3,1,"Tuesday","classic_bike"
"78","member","Desplaines St & Kinzie St",20643,196314.533333333,7.05,9.50998078444671,1027.71666666667,1,"Tuesday","classic_bike"
"79","member","State St & Chicago Ave",20593,253369.566666667,8.01666666666667,12.3036743877369,1411.81666666667,1,"Tuesday","classic_bike"
"80","member","Ellis Ave & 55th St",20199,145501.566666667,4.68333333333333,7.20340445896662,1134.51666666667,1,"Tuesday","classic_bike"
"81","member","Dearborn Pkwy & Delaware Pl",20183,240918.4,9.16666666666667,11.936699202299,1012.91666666667,1,"Tuesday","classic_bike"
"82","member","Indiana Ave & Roosevelt Rd",20042,297260.316666667,10.3,14.8318689086252,1375.18333333333,1,"Wednesday","classic_bike"
"83","member","Ashland Ave & Division St",20011,247263.5,10.5833333333333,12.3563789915546,1436.33333333333,1,"Wednesday","classic_bike"
"84","member","Broadway & Waveland Ave",19846,224128.983333333,7.16666666666667,11.2934084114347,1341.05,1,"Thursday","classic_bike"
"85","member","Clark St & Lincoln Ave",19837,259926.016666667,10.1833333333333,13.1030910251886,1340.7,1,"Saturday","classic_bike"
"86","member","Morgan St & Polk St",19466,166313.783333333,5.71666666666667,8.54380886331724,1090.1,1,"Wednesday","classic_bike"
"87","member","Halsted St & Clybourn Ave",19400,236540.116666667,9.81666666666667,12.1927895189003,1300.1,1,"Thursday","classic_bike"
"88","member","Halsted St & Polk St",19248,179662.333333333,6.83333333333333,9.33407799944583,1348.05,1,"Tuesday","classic_bike"
"89","member","Clark St & Drummond Pl",19089,234692.65,9.13333333333333,12.2946539892084,1221.65,1,"Saturday","classic_bike"
"90","member","Wabash Ave & Roosevelt Rd",19007,222801.466666667,8.58333333333333,11.7220743234949,1353.13333333333,1.01666666666667,"Tuesday","classic_bike"
"91","member","LaSalle St & Illinois St",18801,233351.05,8.35,12.4116297005478,1191.15,1,"Thursday","classic_bike"
"92","member","Dearborn St & Monroe St",18536,214026.633333333,8.5,11.5465382678751,1435.46666666667,1,"Tuesday","classic_bike"
"93","member","Kingsbury St & Erie St",18534,163356.983333333,6.95,8.81390867234992,1067.65,1,"Wednesday","classic_bike"
"94","member","Michigan Ave & Washington St",18495,243442.083333333,9.43333333333333,13.1625889880148,1140.95,1,"Tuesday","classic_bike"
"95","member","Clinton St & Lake St",18494,180794.933333333,7.05,9.77586965141848,1118.18333333333,1,"Tuesday","classic_bike"
"96","member","State St & 33rd St",18228,165247.866666667,5.76666666666667,9.06560602735718,1012.2,1,"Thursday","classic_bike"
"97","member","Broadway & Cornelia Ave",18222,219708.283333333,8.51666666666667,12.0573089305967,1116.93333333333,1,"Saturday","classic_bike"
"98","member","Peoria St & Jackson Blvd",18150,195646.05,7.61666666666667,10.7793966942149,1308.4,1,"Tuesday","classic_bike"
"99","member","Lincoln Ave & Fullerton Ave",18131,215885.85,9.1,11.9070018200871,1371.8,1,"Wednesday","classic_bike"
"100","member","Michigan Ave & Lake St",17820,225957.95,9.26666666666667,12.680019640853,1137.01666666667,1,"Thursday","classic_bike"
