job_title,job_url,company,location,post_date_str,post_date,today
Data Analyst (Remote) at GoMoney,https://ng.linkedin.com/jobs/view/data-analyst-remote-at-gomoney-at-gomoney-3759763199?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=2S1LIKa%2BRKRupLmafEJWjQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,gomoney,"Lagos State,  Nigeria",2023-11-14,2 weeks ago,2023-12-04
Data Analyst at Mopheth Nigeria Limited,https://ng.linkedin.com/jobs/view/data-analyst-at-mopheth-nigeria-limited-at-mopheth-nigeria-limited-3763893364?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=JlkqT%2Fyin7fGoL6aiE5SOQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Mopheth Nigeria Limited,"Lagos State,  Nigeria",2023-11-22,1 week ago,2023-12-04
Data Analyst at BrandRegimen SFS Limited,https://ng.linkedin.com/jobs/view/data-analyst-at-brandregimen-sfs-limited-at-brandregimen-sfs-limited-3733068420?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=JCKrWNSs1suPs6OO0ezp7g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,BrandRegimen sfs Limited,"Lagos State,  Nigeria",2023-10-13,1 month ago,2023-12-04
Data Analyst at BOGO Beverages Limited – 2 Openings,https://ng.linkedin.com/jobs/view/data-analyst-at-bogo-beverages-limited-%E2%80%93-2-openings-at-bogo-beverages-3721196482?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=0bNzbXEHMs1sh74HYdXy4Q%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,BOGO Beverages,"Lagos State,  Nigeria",2023-09-22,2 months ago,2023-12-04
Data Analyst at ipNX Nigeria Limited,https://ng.linkedin.com/jobs/view/data-analyst-at-ipnx-nigeria-limited-at-ipnx-nigeria-limited-3755090672?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=bg5UvSrJOAX8HAZTQNWrWA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,ipNX Nigeria Limited,"Lagos State,  Nigeria",2023-11-08,3 weeks ago,2023-12-04
HR Data Analyst at Tastee Fried Chicken,https://ng.linkedin.com/jobs/view/hr-data-analyst-at-tastee-fried-chicken-at-tastee-fried-chicken-3748186741?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=%2FQ1w4ZLlqz2JnXOKziGj7Q%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Tastee Fried Chicken,"Lagos State,  Nigeria",2023-11-02,1 month ago,2023-12-04
Financial Data Analyst (Remote) at Moniepoint Inc. (Formerly TeamApt Inc.),https://ng.linkedin.com/jobs/view/financial-data-analyst-remote-at-moniepoint-inc-formerly-teamapt-inc-at-moniepoint-group-3770140936?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=5iPzJJ8HOdP6bdri2rFoBw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Moniepoint Group,"Lagos State,  Nigeria",2023-12-01,3 days ago,2023-12-04
Commercial Data Analyst at Seven-Up Bottling Company Limited,https://ng.linkedin.com/jobs/view/commercial-data-analyst-at-seven-up-bottling-company-limited-at-seven-up-bottling-company-3676887271?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=LCs3SIMlrxyYZVVPU3X34A%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,Seven Up Bottling Company,"Lagos State,  Nigeria",2023-07-12,4 months ago,2023-12-04
HR Data Analyst,https://ng.linkedin.com/jobs/view/hr-data-analyst-at-babban-gona-3770670262?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=Stw4XtLZ8qSsC5omjDr%2BBg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Babban Gona,"Lagos State,  Nigeria",2023-11-20,1 week ago,2023-12-04
Sales Data Analyst at Sunlight Resources Limited,https://ng.linkedin.com/jobs/view/sales-data-analyst-at-sunlight-resources-limited-at-sunlight-resources-limited-3714325789?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=1P9IMsBbvnDuUkPviF2zZQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,Sunlight Resources Limited,"Lagos State,  Nigeria",2023-09-15,2 months ago,2023-12-04
"Business Systems Junior Analyst (SUN, EAM & Asset Management) at Seplat Energy Plc",https://ng.linkedin.com/jobs/view/business-systems-junior-analyst-sun-eam-asset-management-at-seplat-energy-plc-at-seplat-energy-plc-3735573102?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=Syn2ImS8ar8U8w1S5Bc4SA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,Seplat Energy Plc,"Lagos State,  Nigeria",2023-09-20,2 months ago,2023-12-04
Business Intelligence Analyst,https://ng.linkedin.com/jobs/view/business-intelligence-analyst-at-reliance-health-3660409094?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=%2FsAJJAQGWOoz7IQszGEduQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,Reliance Health,"Lagos State,  Nigeria",2023-07-10,4 months ago,2023-12-04
Data Engineer,https://ng.linkedin.com/jobs/view/data-engineer-at-kora-3763795773?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=ZavTy0NDd8T%2FV2U6ydX18w%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,Kora,"Lagos State,  Nigeria",2023-11-12,3 weeks ago,2023-12-04
Undergraduate Software Developer at Sophia ERP Limited,https://ng.linkedin.com/jobs/view/undergraduate-software-developer-at-sophia-erp-limited-at-sophia-erp-limited-3773536224?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=jbPMsWVJ%2Fx2VUZPDT9R86w%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,Sophia ERP Limited,"Lagos State,  Nigeria",2023-11-09,3 weeks ago,2023-12-04
Submit CVs – Latest Recruitment at Uridium Technologies (5 Positions),https://ng.linkedin.com/jobs/view/submit-cvs-%E2%80%93-latest-recruitment-at-uridium-technologies-5-positions-at-uridium-technologies-3772273844?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=XuWJtCu6wKaOhwk%2FwweErA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,Uridium Technologies,"Lagos State,  Nigeria",2023-12-02,2 days ago,2023-12-04
Python Developer at CredPal,https://ng.linkedin.com/jobs/view/python-developer-at-credpal-at-credpal-3713408482?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=TpS0IZLb5%2BRfjceLh%2Be4kA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,CredPal,"Lagos State,  Nigeria",2023-08-20,3 months ago,2023-12-04
"Engineer, Vas Planning at 9mobile Nigeria",https://ng.linkedin.com/jobs/view/engineer-vas-planning-at-9mobile-nigeria-at-9mobile-3766214062?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=9bcJhZ1jXG8mAcF%2BSaDcKw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,9mobile,"Lagos State,  Nigeria",2023-10-31,1 month ago,2023-12-04
IT Business Analyst at Renmoney,https://ng.linkedin.com/jobs/view/it-business-analyst-at-renmoney-at-renmoney-3679020353?refId=DJcQbYqlfRfjoo57WTnxuQ%3D%3D&trackingId=uptE5U0JgnJbuCGUmjUICQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,Renmoney,"Lagos State,  Nigeria",2023-07-08,4 months ago,2023-12-04
job_title,job_url,company,location,post_date_str,post_date,today
Data Analyst (Remote) at GoMoney,https://ng.linkedin.com/jobs/view/data-analyst-remote-at-gomoney-at-gomoney-3759763199?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=a56LUbMPGHWa6ken5vmcKQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,gomoney,"Lagos State,  Nigeria",2023-11-14,2 weeks ago,2023-12-04
Data Analyst at Mopheth Nigeria Limited,https://ng.linkedin.com/jobs/view/data-analyst-at-mopheth-nigeria-limited-at-mopheth-nigeria-limited-3763893364?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=DgsouZJRRlIv1uM1TErFfg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Mopheth Nigeria Limited,"Lagos State,  Nigeria",2023-11-22,1 week ago,2023-12-04
Data Analyst at BrandRegimen SFS Limited,https://ng.linkedin.com/jobs/view/data-analyst-at-brandregimen-sfs-limited-at-brandregimen-sfs-limited-3733068420?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=ZIWvH%2FAXGL7VY0Oj%2FMBgaw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,BrandRegimen sfs Limited,"Lagos State,  Nigeria",2023-10-13,1 month ago,2023-12-04
Data Analyst at BOGO Beverages Limited – 2 Openings,https://ng.linkedin.com/jobs/view/data-analyst-at-bogo-beverages-limited-%E2%80%93-2-openings-at-bogo-beverages-3721196482?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=cJ7zTleeyMwd9jmakEtr%2BA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,BOGO Beverages,"Lagos State,  Nigeria",2023-09-22,2 months ago,2023-12-04
Data Analyst at ipNX Nigeria Limited,https://ng.linkedin.com/jobs/view/data-analyst-at-ipnx-nigeria-limited-at-ipnx-nigeria-limited-3755090672?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=JIvi%2Bx8Q1gI6au%2FjexbtnQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,ipNX Nigeria Limited,"Lagos State,  Nigeria",2023-11-08,3 weeks ago,2023-12-04
HR Data Analyst at Tastee Fried Chicken,https://ng.linkedin.com/jobs/view/hr-data-analyst-at-tastee-fried-chicken-at-tastee-fried-chicken-3748186741?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=Vv2JvZMKKc0M%2FddToR051Q%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Tastee Fried Chicken,"Lagos State,  Nigeria",2023-11-02,1 month ago,2023-12-04
Financial Data Analyst (Remote) at Moniepoint Inc. (Formerly TeamApt Inc.),https://ng.linkedin.com/jobs/view/financial-data-analyst-remote-at-moniepoint-inc-formerly-teamapt-inc-at-moniepoint-group-3770140936?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=k3fQcFa3js1yTtIc7LzDhQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Moniepoint Group,"Lagos State,  Nigeria",2023-12-01,3 days ago,2023-12-04
Commercial Data Analyst at Seven-Up Bottling Company Limited,https://ng.linkedin.com/jobs/view/commercial-data-analyst-at-seven-up-bottling-company-limited-at-seven-up-bottling-company-3676887271?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=unCONOwYu1jyc2muugn6jg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,Seven Up Bottling Company,"Lagos State,  Nigeria",2023-07-12,4 months ago,2023-12-04
HR Data Analyst,https://ng.linkedin.com/jobs/view/hr-data-analyst-at-babban-gona-3770670262?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=wyE11M%2BffP0gR%2FI44LmGHg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Babban Gona,"Lagos State,  Nigeria",2023-11-20,1 week ago,2023-12-04
Sales Data Analyst at Sunlight Resources Limited,https://ng.linkedin.com/jobs/view/sales-data-analyst-at-sunlight-resources-limited-at-sunlight-resources-limited-3714325789?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=tlQWGPCbNKdU3dPGgu0rWA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,Sunlight Resources Limited,"Lagos State,  Nigeria",2023-09-15,2 months ago,2023-12-04
"Business Systems Junior Analyst (SUN, EAM & Asset Management) at Seplat Energy Plc",https://ng.linkedin.com/jobs/view/business-systems-junior-analyst-sun-eam-asset-management-at-seplat-energy-plc-at-seplat-energy-plc-3735573102?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=LiiCcnG9tCtR%2FgrfxvxfBg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,Seplat Energy Plc,"Lagos State,  Nigeria",2023-09-20,2 months ago,2023-12-04
Business Intelligence Analyst,https://ng.linkedin.com/jobs/view/business-intelligence-analyst-at-reliance-health-3660409094?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=TxQGeTiFO%2FWPUcm%2FJwqUFQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,Reliance Health,"Lagos State,  Nigeria",2023-07-10,4 months ago,2023-12-04
Data Engineer,https://ng.linkedin.com/jobs/view/data-engineer-at-kora-3763795773?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=QqYrLsBx%2FU0c2vWwCCiGGA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,Kora,"Lagos State,  Nigeria",2023-11-12,3 weeks ago,2023-12-04
Submit CVs – Latest Recruitment at Uridium Technologies (5 Positions),https://ng.linkedin.com/jobs/view/submit-cvs-%E2%80%93-latest-recruitment-at-uridium-technologies-5-positions-at-uridium-technologies-3772273844?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=y6ZeBd5Bv7R9Y1VgR6iXsw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,Uridium Technologies,"Lagos State,  Nigeria",2023-12-02,2 days ago,2023-12-04
Python Developer at CredPal,https://ng.linkedin.com/jobs/view/python-developer-at-credpal-at-credpal-3713408482?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=CJrFOERij%2BxRRv6uBDZtQA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,CredPal,"Lagos State,  Nigeria",2023-08-20,3 months ago,2023-12-04
"Engineer, Vas Planning at 9mobile Nigeria",https://ng.linkedin.com/jobs/view/engineer-vas-planning-at-9mobile-nigeria-at-9mobile-3766214062?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=SVJ0n3comeUSNwPmj0KEpQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,9mobile,"Lagos State,  Nigeria",2023-10-31,1 month ago,2023-12-04
IT Business Analyst at Renmoney,https://ng.linkedin.com/jobs/view/it-business-analyst-at-renmoney-at-renmoney-3679020353?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=NuegE03NoSpBmTJD0cFBtQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,Renmoney,"Lagos State,  Nigeria",2023-07-08,4 months ago,2023-12-04
Storage and Backup Systems Engineer,https://ng.linkedin.com/jobs/view/storage-and-backup-systems-engineer-at-scadea-solutions-inc-3774430363?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=2ZT5u64MfpeBA%2FSmtHy%2B%2Bg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,"Scadea Solutions, Inc.","Lagos State,  Nigeria",2023-11-28,6 days ago,2023-12-04
Python Engineer,https://ng.linkedin.com/jobs/view/python-engineer-at-canonical-3745349068?refId=LTLisuHJeUsxRcgrRGJC3A%3D%3D&trackingId=rmCAGMX4dw3lPn8QO6rYIA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,Canonical,"Lagos State,  Nigeria",2023-10-24,1 month ago,2023-12-04
